tpep_pickup_datetime,Date,Day_of_Week,Total_trips,Total_fare,Total_amount,speed_p50,duration_p50,duration_p95,distance_p50,distance_p95,avg_distance,revenue_per_trip,revenue_per_mile,Early Morning,Morning,Morning Rush,Midday,Evening Rush,Late Night,index_100_by_day_by_trips
2021-01-29 00:00:00-05:00,2021-01-29,Friday,51257,588474.86,651800.5700000001,10.86,9.0,31.0,1.6,8.75,2.6416306065513004,11.48086817410305,4.346129298180545,144.5 / 170.5,463.33 / 396.33,2769.0 / 2645.67,3627.33 / 3580.33,3933.0 / 3977.67,1483.8 / 1606.8,222.52756794304074
2021-01-30 00:00:00-05:00,2021-01-30,Saturday,36799,419839.11,463444.1600000001,12.39,9.0,27.0,1.69,9.3,2.78455731289744,11.408981494062338,4.097336842518235,251.0 / 281.0,217.67 / 196.33,1063.0 / 996.33,2733.17 / 2675.67,2845.0 / 2884.67,1403.8 / 1477.8,159.75948597725102
2021-01-31 00:00:00-05:00,2021-01-31,Sunday,29219,344519.87,378119.39,13.21,8.0,28.0,1.7,10.811999999999971,6.912314589821692,11.790953489168007,1.705789477019761,339.25 / 355.75,169.33 / 150.33,755.33 / 707.67,2393.0 / 2347.33,2286.0 / 2330.67,774.4 / 829.2,126.8516106624989
2021-02-01 00:00:00-05:00,2021-02-01,Monday,5735,70723.16,76905.57,10.93,10.0,37.0,1.76,10.313000000000002,2.944179598953793,12.33185004359198,4.188552236410467,96.5 / 99.5,125.0 / 104.67,528.33 / 524.0,344.83 / 346.33,254.67 / 260.0,111.2 / 118.6,100.0
2021-02-02 00:00:00-05:00,2021-02-02,Tuesday,26781,304531.24000000005,350340.45,12.46,8.0,27.0,1.65,10.230999999999986,2.8454658501064265,11.37116761883425,3.995810668126793,30.5 / 54.25,146.67 / 120.0,1140.67 / 1094.0,1778.33 / 1746.0,2429.0 / 2439.0,968.0 / 1025.8,466.974716652136
2021-02-03 00:00:00-05:00,2021-02-03,Wednesday,51380,626520.0300000001,689710.78,9.71,11.0,32.0,1.7,9.14,2.744748807785888,12.193850330868042,4.443014680201459,117.75 / 147.25,461.67 / 374.0,2751.0 / 2579.67,3552.5 / 3515.17,4120.67 / 4210.0,1518.8 / 1641.8,895.9023539668701
2021-02-04 00:00:00-05:00,2021-02-04,Thursday,55119,712678.0199999999,757551.3500000001,9.0,12.0,38.0,1.7,9.1,2.753304305230501,12.929806781690523,4.696105242390948,144.5 / 168.25,516.33 / 421.0,2885.33 / 2714.0,3846.83 / 3767.0,4194.0 / 4290.67,1734.6 / 1913.4,961.0985178727115
2021-02-05 00:00:00-05:00,2021-02-05,Friday,53657,655377.7799999999,708074.69,9.96,11.0,34.0,1.7,9.18,2.759993849709259,12.214208397785935,4.425010244239273,160.75 / 194.0,473.0 / 388.33,2833.33 / 2695.33,3601.0 / 3544.67,4002.0 / 4068.67,1896.6 / 2031.2,935.6059285091543
2021-02-06 00:00:00-05:00,2021-02-06,Saturday,46797,539439.6699999999,584108.7100000001,11.56,10.0,28.0,1.76,8.34,2.720462034919753,11.527227600059831,4.237557156467322,329.5 / 372.25,256.0 / 229.67,1257.0 / 1166.67,3419.5 / 3348.5,3620.0 / 3645.33,1912.6 / 2018.4,815.9895379250218
2021-02-07 00:00:00-05:00,2021-02-07,Sunday,25235,299452.43999999994,328945.34,14.61,8.0,26.0,1.8,11.2,3.122632454923717,11.866552011095699,3.800175711484939,422.75 / 451.25,156.67 / 139.33,784.67 / 745.67,1596.33 / 1577.83,2134.0 / 2153.67,948.0 / 969.4,440.01743679163036
